#tmauto-artifact 1
#map_uid buNzfsVlp2NF2oWtHM3729dEylg
#map_sha256 17cfebb228862cc4fe3d6cbb81c80d59e5f87bca9bafb5c2aa5e4136a10d145b
#container_ticks 4200
#prefix 153
#declared_ms 41800
#declared_cps 20900,41800
#template wobble7919 gas=on ticks=9000
#tape_sha256 09cf59fff006646b8ea56f2a3fb21e8782d7a027d0013cc62af1fb6219513dba
#file_sha256 fa0b9e6648d3de2bc4ec8c16de7d3db16156e0d22e6e5c868700548507f08bba
#producer tmauto optimize
#parent d059e58e4d562f8390ef96c08ea3977242148d554d82b3cedcca57efd7eccc26
#parent_path /var/svcscm/persistent/private-30d/tm-autopilot/C2-drive/bank-summer01/summer01-finish-36698.artifact.tsv
#cut n/a
#macro_steer n/a
#note (1+lambda) hill climb on finish time, plain oracle only, no memory readout; server-simulated finish 36.618 at the moment of banking
tick	steer	gas	brake	respawn
275	-127	1	0	0
276	-127	1	0	0
277	-127	1	0	0
278	-127	1	0	0
279	-127	1	0	0
280	-127	1	0	0
281	-127	1	0	0
282	-127	1	0	0
283	-127	1	0	0
284	-127	1	0	0
285	-127	1	0	0
286	-127	1	0	0
287	-127	1	0	0
288	-127	1	0	0
289	-127	1	0	0
290	-127	1	0	0
291	-127	1	0	0
292	-127	1	0	0
293	-127	1	0	0
294	-127	1	0	0
295	-127	1	0	0
296	-127	1	0	0
297	-127	1	0	0
298	-127	1	0	0
299	-127	1	0	0
300	-127	1	0	0
301	-127	1	0	0
302	-127	1	0	0
303	-127	1	0	0
304	-127	1	0	0
305	-127	1	0	0
306	-127	1	0	0
307	-127	1	0	0
308	-127	1	0	0
309	127	1	0	0
310	127	1	0	0
311	127	1	0	0
312	127	1	0	0
313	127	1	0	0
314	127	1	0	0
315	127	1	0	0
316	127	1	0	0
317	127	1	0	0
318	127	1	0	0
319	127	1	0	0
320	127	1	0	0
321	127	1	0	0
322	127	1	0	0
323	127	1	0	0
324	127	1	0	0
325	127	1	0	0
326	127	1	0	0
327	127	1	0	0
328	127	1	0	0
329	127	1	0	0
330	127	1	0	0
331	127	1	0	0
332	127	1	0	0
333	0	1	0	0
334	0	1	0	0
335	0	1	0	0
336	0	1	0	0
337	0	1	0	0
338	0	1	0	0
339	0	1	0	0
340	0	1	0	0
341	0	1	0	0
342	0	1	0	0
343	0	1	0	0
344	0	1	0	0
345	0	1	0	0
346	0	1	0	0
347	0	1	0	0
348	0	1	0	0
349	0	1	0	0
350	0	1	0	0
351	0	1	0	0
352	0	1	0	0
353	0	1	0	0
354	0	1	0	0
355	0	1	0	0
356	0	1	0	0
357	0	1	0	0
358	0	1	0	0
359	0	1	0	0
360	0	1	0	0
361	0	1	0	0
362	0	1	0	0
363	0	1	0	0
364	0	1	0	0
365	0	1	0	0
366	0	1	0	0
367	0	1	0	0
368	0	1	0	0
369	0	1	0	0
370	0	1	0	0
371	0	1	0	0
372	0	1	0	0
373	0	1	0	0
374	0	1	0	0
375	0	1	0	0
376	0	1	0	0
377	0	1	0	0
378	0	1	0	0
379	0	1	0	0
380	0	1	0	0
381	0	1	0	0
382	0	1	0	0
383	0	1	0	0
384	0	1	0	0
385	0	1	0	0
386	0	1	0	0
387	0	1	0	0
388	0	1	0	0
389	0	1	0	0
390	0	1	0	0
391	0	1	0	0
392	0	1	0	0
393	0	1	0	0
394	0	1	0	0
395	0	1	0	0
396	0	1	0	0
397	0	1	0	0
398	0	1	0	0
399	0	1	0	0
400	0	1	0	0
401	0	1	0	0
402	0	1	0	0
403	0	1	0	0
404	0	1	0	0
405	0	1	0	0
406	0	1	0	0
407	0	1	0	0
408	0	1	0	0
409	0	1	0	0
410	0	1	0	0
411	0	1	0	0
412	0	1	0	0
413	0	1	0	0
414	0	1	0	0
415	0	1	0	0
416	0	1	0	0
417	127	1	0	0
418	127	1	0	0
419	127	1	0	0
420	127	1	0	0
421	127	1	0	0
422	127	1	0	0
423	127	1	0	0
424	127	1	0	0
425	127	1	0	0
426	127	1	0	0
427	127	1	0	0
428	127	1	0	0
429	-127	1	0	0
430	-127	1	0	0
431	-127	1	0	0
432	-127	1	0	0
433	-127	1	0	0
434	-127	1	0	0
435	-127	1	0	0
436	-127	1	0	0
437	-127	1	0	0
438	-127	1	0	0
439	-127	1	0	0
440	-127	1	0	0
441	-127	1	0	0
442	-127	1	0	0
443	-127	1	0	0
444	-127	1	0	0
445	-127	1	0	0
446	-127	1	0	0
447	-127	1	0	0
448	-127	1	0	0
449	-127	1	0	0
450	-127	1	0	0
451	-127	1	0	0
452	-127	1	0	0
453	-127	1	0	0
454	-127	1	0	0
455	-127	1	0	0
456	-127	1	0	0
457	-127	1	0	0
458	-127	1	0	0
459	-127	1	0	0
460	-127	1	0	0
461	-127	1	0	0
462	-127	1	0	0
463	-127	1	0	0
464	-127	1	0	0
465	-127	1	0	0
466	-127	1	0	0
467	-127	1	0	0
468	-127	1	0	0
469	-127	1	0	0
470	-127	1	0	0
471	-127	1	0	0
472	-127	1	0	0
473	-127	1	0	0
474	-127	1	0	0
475	-127	1	0	0
476	-127	1	0	0
477	-127	1	0	0
478	-127	1	0	0
479	-127	1	0	0
480	-127	1	0	0
481	-127	1	0	0
482	-127	1	0	0
483	-127	1	0	0
484	-127	1	0	0
485	-127	1	0	0
486	-127	1	0	0
487	-127	1	0	0
488	-127	1	0	0
489	-127	1	0	0
490	-127	1	0	0
491	-127	1	0	0
492	-127	1	0	0
493	-127	1	0	0
494	-127	1	0	0
495	-127	1	0	0
496	-127	1	0	0
497	-127	1	0	0
498	-127	1	0	0
499	-127	1	0	0
500	-127	1	0	0
501	-127	1	0	0
502	-127	1	0	0
503	-127	1	0	0
504	-127	1	0	0
505	-127	1	0	0
506	-127	1	0	0
507	-127	1	0	0
508	-127	1	0	0
509	-127	1	0	0
510	-127	1	0	0
511	-127	1	0	0
512	-127	1	0	0
513	-127	1	0	0
514	-127	1	0	0
515	-127	1	0	0
516	-127	1	0	0
517	-127	1	0	0
518	-127	1	0	0
519	-127	1	0	0
520	-127	1	0	0
521	-127	1	0	0
522	-127	1	0	0
523	-127	1	0	0
524	-127	1	0	0
525	-127	1	0	0
526	-127	1	0	0
527	-127	1	0	0
528	-127	1	0	0
529	-127	1	0	0
530	-127	1	0	0
531	-127	1	0	0
532	-127	1	0	0
533	-127	1	0	0
534	-127	1	0	0
535	-127	1	0	0
536	-127	1	0	0
537	-127	1	0	0
538	-127	1	0	0
539	-127	1	0	0
540	-127	1	0	0
541	-127	1	0	0
542	-127	1	0	0
543	-127	1	0	0
544	-127	1	0	0
545	-127	1	0	0
546	-127	1	0	0
547	-127	1	0	0
548	-127	1	0	0
549	-127	1	0	0
550	-127	1	0	0
551	-127	1	0	0
552	-127	1	0	0
553	-127	1	0	0
554	-127	1	0	0
555	-127	1	0	0
556	-127	1	0	0
557	-127	1	0	0
558	-127	1	0	0
559	-127	1	0	0
560	-127	1	0	0
561	-127	1	0	0
562	-127	1	0	0
563	-127	1	0	0
564	-127	1	0	0
565	-127	1	0	0
566	-127	1	0	0
567	-127	1	0	0
568	-127	1	0	0
569	-127	1	0	0
570	-127	1	0	0
571	-127	1	0	0
572	-127	1	0	0
573	-127	1	0	0
574	-127	1	0	0
575	-127	1	0	0
576	-127	1	0	0
577	-127	1	0	0
578	-127	1	0	0
579	-127	1	0	0
580	-127	1	0	0
581	-127	1	0	0
582	-127	1	0	0
583	-127	1	0	0
584	-127	1	0	0
585	0	1	0	0
586	0	1	0	0
587	0	1	0	0
588	0	1	0	0
589	0	1	0	0
590	0	1	0	0
591	0	1	0	0
592	0	1	0	0
593	0	1	0	0
594	0	1	0	0
595	0	1	0	0
596	0	1	0	0
597	0	1	0	0
598	0	1	0	0
599	0	1	0	0
600	0	1	0	0
601	0	1	0	0
602	0	1	0	0
603	0	1	0	0
604	0	1	0	0
605	0	1	0	0
606	0	1	0	0
