t_race_ms,steer,accel,brake
13200,0,1,0
13250,0,1,0
13300,0,1,0
13350,0,1,0
13400,0,1,0
13450,0,1,0
13500,0,1,0
13550,0,1,0
13600,0,1,0
13650,127,1,0
13700,127,1,0
13750,0,1,0
13800,0,1,0
13850,0,1,0
13900,0,1,0
13950,0,1,0
14000,0,1,0
14050,0,1,0
14100,0,1,0
14150,127,1,0
14200,0,1,0
14250,0,1,0
14300,0,1,0
14350,0,1,0
14400,0,1,0
14450,0,1,0
14500,0,1,0
14550,127,1,0
14600,0,1,0
14650,0,1,0
14700,0,1,0
14750,0,1,0
14800,127,1,0
14850,0,1,0
14900,0,1,0
14950,0,1,0
15000,0,1,0
15050,0,1,0
15100,0,1,0
15150,0,1,0
15200,0,1,0
15250,0,1,0
15300,0,1,0
15350,0,1,0
15400,0,1,0
15450,0,1,0
15500,0,1,0
15550,0,1,0
15600,0,1,0
15650,0,1,0
15700,0,1,0
15750,0,1,0
15800,0,1,0
15850,0,1,0
15900,0,1,0
15950,127,1,0
16000,0,1,0
16050,0,1,0
16100,0,1,0
16150,0,1,0
16200,127,1,0
16250,127,1,0
16300,0,1,0
16350,0,1,0
16400,0,1,0
16450,0,1,0
16500,0,1,0
16550,0,1,0
16600,0,1,0
16650,127,1,0
16700,127,1,0
16750,0,1,0
16800,0,1,0
16850,0,1,0
16900,0,1,0
16950,0,1,0
17000,0,1,0
17050,0,1,0
17100,0,1,0
17150,0,1,0
17200,0,1,0
17250,0,1,0
17300,127,1,0
17350,0,1,0
17400,0,1,0
17450,0,1,0
17500,0,1,0
17550,0,1,0
17600,0,1,0
17650,0,1,0
17700,0,1,0
17750,127,1,0
17800,0,1,0
17850,0,1,0
17900,0,1,0
17950,0,1,0
18000,0,1,0
18050,0,1,0
18100,0,1,0
18150,0,1,0
18200,0,1,0
18250,0,1,0
18300,127,1,0
18350,0,1,0
18400,0,1,0
18450,0,1,0
18500,127,1,0
18550,127,1,0
18600,0,1,0
18650,0,1,0
18700,0,1,0
18750,0,1,0
18800,0,1,0
18850,0,1,0
18900,0,1,0
18950,127,1,0
19000,0,1,0
19050,0,1,0
19100,0,1,0
19150,0,1,0
19200,0,1,0
19250,0,1,0
19300,0,1,0
19350,0,1,0
19400,0,1,0
19450,0,1,0
19500,0,1,0
19550,0,1,0
19600,0,1,0
19650,0,1,0
19700,0,1,0
19750,0,1,0
19800,127,1,0
19850,127,1,0
19900,0,1,0
19950,0,1,0
20000,0,1,0
20050,0,1,0
20100,0,1,0
20150,127,1,0
20200,0,1,0
20250,0,1,0
20300,0,1,0
20350,0,1,0
20400,0,1,0
20450,0,1,0
20500,0,1,0
20550,0,1,0
20600,127,1,0
20650,127,1,0
20700,0,1,0
20750,0,1,0
20800,0,1,0
20850,0,1,0
20900,0,1,0
20950,0,1,0
21000,0,1,0
21050,0,1,0
21100,0,1,0
21150,0,1,0
21200,0,1,0
21250,0,1,0
21300,0,1,0
21350,0,1,0
21400,0,1,0
21450,0,1,0
21500,0,1,0
21550,127,1,0
21600,0,1,0
21650,0,1,0
21700,0,1,0
21750,0,1,0
21800,0,1,0
21850,0,1,0
21900,0,1,0
21950,0,1,0
22000,0,1,0
22050,127,1,0
22100,127,1,0
22150,0,1,0
22200,0,1,0
22250,127,1,0
22300,127,1,0
22350,0,1,0
22400,0,1,0
22450,127,1,0
22500,127,1,0
22550,127,1,0
22600,127,1,0
22650,127,1,0
22700,127,1,0
22750,0,1,0
22800,0,1,0
22850,127,1,0
22900,127,1,0
22950,127,1,0
23000,127,1,0
23050,127,1,0
23100,127,1,0
23150,127,1,0
23200,127,1,0
23250,127,1,0
23300,127,1,0
23350,127,1,0
23400,127,1,0
23450,127,1,0
23500,0,1,0
23550,0,1,0
23600,127,1,0
23650,127,1,0
23700,127,1,0
23750,127,1,0
23800,127,1,0
23850,127,1,0
23900,127,1,0
23950,127,1,0
24000,127,1,0
24050,127,1,0
24100,127,1,0
24150,127,1,0
24200,127,1,0
24250,127,1,0
24300,0,1,0
24350,0,1,0
24400,127,1,0
24450,127,1,0
24500,0,1,0
24550,0,1,0
24600,0,1,0
24650,127,1,0
24700,0,1,0
24750,0,1,0
24800,127,1,0
24850,127,1,0
24900,127,1,0
24950,127,1,0
25000,127,1,0
25050,127,1,0
25100,127,1,0
25150,127,1,0
25200,127,1,0
25250,127,1,0
25300,0,1,0
25350,0,1,0
25400,0,1,0
25450,0,1,0
25500,0,1,0
25550,0,1,0
25600,0,1,0
25650,0,1,0
25700,127,1,0
25750,127,1,0
25800,127,0,0
25850,77,0,0
25900,77,1,0
25950,77,0,0
26000,77,1,0
26050,77,1,0
26100,77,0,0
26150,77,0,0
26200,77,1,0
26250,-97,0,0
26300,-97,1,0
26350,-97,0,0
26400,-97,0,0
26450,-97,0,0
26500,-97,1,0
26550,-65,1,0
26600,-65,0,0
26650,65,1,0
26700,65,1,0
26750,-65,1,0
26800,-65,0,0
26850,65,1,0
26900,65,1,0
26950,-65,0,0
27000,-65,1,0
27050,65,1,0
27100,65,1,0
27150,0,1,0
27200,-127,1,0
27250,0,1,0
27300,63,1,0
27350,-127,1,0
27400,109,1,0
27450,-109,1,0
27500,109,1,0
27550,-109,1,0
27600,109,1,0
27650,-109,1,0
27700,109,1,0
27750,-109,1,0
27800,109,1,0
27850,-109,1,0
27900,109,1,0
27950,-109,1,0
28000,109,1,0
28050,-63,1,0
28100,63,1,0
28150,-63,1,0
28200,63,1,0
28250,63,1,0
28300,-63,1,0
28350,63,1,0
28400,-63,1,0
28450,-63,1,0
28500,65,1,0
28550,65,1,0
28600,-65,1,0
28650,-65,1,0
28700,-65,1,0
28750,65,1,0
28800,65,1,0
28850,-65,1,0
28900,-65,1,0
28950,34,1,0
29000,34,1,0
29050,-34,1,0
29100,34,1,0
29150,34,1,0
29200,-34,1,0
29250,34,1,0
29300,34,1,0
29350,-34,1,0
29400,-34,1,0
29450,34,1,0
29500,-42,1,0
29550,-62,1,0
29600,-62,1,0
29650,-62,1,0
29700,-62,1,0
29750,-62,1,0
29800,-62,1,0
29850,-62,1,0
29900,-62,1,0
29950,-62,1,0
30000,-62,1,0
30050,-42,1,0
30100,0,1,0
30150,-127,1,0
30200,127,1,0
30250,-127,1,0
30300,127,1,0
30350,-127,1,0
30400,127,1,0
30450,-127,1,0
30500,127,1,0
30550,-127,1,0
30600,127,1,0
30650,-127,1,0
30700,127,1,0
30750,-127,1,0
30800,127,1,0
30850,-127,1,0
30900,127,1,0
30950,-127,1,0
31000,127,1,0
31050,-127,1,0
31100,127,1,0
31150,-127,1,0
31200,127,1,0
31250,-127,1,0
31300,127,1,0
31350,-127,1,0
31400,-15,1,0
31450,-15,1,0
31500,-15,1,0
31550,-15,1,0
31600,-15,1,0
31650,-85,1,0
31700,-85,1,0
31750,-85,1,0
31800,-85,1,0
31850,-46,1,0
31900,46,1,0
31950,46,1,0
32000,-46,1,0
32050,-46,1,0
32100,46,1,0
32150,46,1,0
32200,-46,1,0
32250,82,1,0
32300,82,1,0
32350,82,1,0
32400,-127,1,0
32450,127,1,0
32500,-127,1,0
32550,127,1,0
32600,-127,1,0
32650,127,1,0
32700,-127,1,0
32750,127,1,0
32800,-127,1,0
32850,127,1,0
32900,83,1,0
32950,83,1,0
33000,-83,1,0
33050,-83,1,0
33100,83,1,0
33150,83,1,0
33200,-83,1,0
33250,-83,1,0
33300,78,1,0
33350,78,1,0
33400,78,1,0
33450,78,1,0
33500,78,1,0
33550,78,1,0
33600,78,1,0
33650,78,1,0
33700,78,1,0
33750,78,1,0
33800,-127,1,0
33850,78,1,0
33900,78,1,0
33950,78,1,0
34000,78,1,0
34050,78,1,0
34100,78,1,0
34150,78,1,0
34200,78,1,0
34250,78,1,0
34300,78,1,0
34350,110,1,0
34400,110,1,0
34450,50,1,0
34500,-50,1,0
34550,-50,1,0
34600,50,1,0
34650,50,1,0
34700,-50,1,0
34750,50,1,0
34800,50,1,0
34850,-50,1,0
34900,50,1,0
34950,50,1,0
35000,127,1,0
35050,127,1,0
35100,127,1,0
35150,127,1,0
35200,127,1,0
35250,127,1,0
35300,127,1,0
35350,53,1,0
35400,53,1,0
35450,53,1,0
35500,53,1,0
35550,53,1,0
35600,53,1,0
35650,53,1,0
35700,53,1,0
35750,53,1,0
35800,53,1,0
35850,53,1,0
35900,0,1,0
35950,0,1,0
36000,0,1,0
36050,0,1,0
36100,0,0,0
36150,0,0,0
36200,0,0,0
36250,0,0,0
36300,0,0,0
36350,0,0,0
36400,0,0,0
36450,0,0,0
36500,0,0,0
36550,0,0,0
36600,0,0,0
36650,0,0,0
36700,0,0,0
36750,0,0,0
