470	5997	Techno3\Media\Material\Tech3	Material: unknown collection folder Techno3;
471	5997	Common\Media\Material\Tech3	Material: unknown collection folder Common;
472	5997	Vehicles\Media\Material\Tech3	Material: unknown collection folder Vehicles;
473	5998	Effects\Media\Material\Tech3	
474	5997	Lagoon\Media\Material\RoadTech	Material: unknown collection folder Lagoon;
475	5997	Stadium256\Media\Material\RoadTech	Material: unknown collection folder Stadium256;
476	5998	Editors\Media\Material\RoadTech	
477	5998	Editors\MeshEditorMedia\Material\RoadTech	
478	5997	GreenCoast\Media\Material\Land	Material: unknown collection folder GreenCoast;
479	5997	Trackmania\Media\Material\RoadTech	Material: unknown collection folder Trackmania;
480	5997	Bay\Media\Material\Land	Material: unknown collection folder Bay;
481	5997	Summer\Media\Material\Land	Material: unknown collection folder Summer;
482	5997	BlueBay\Media\Modifier\StadiumOnTerrain\TrackWallInWorld	Material: unknown collection folder BlueBay;
483	5997	Stadium\Media\Material_BlockCustom\CustomConcrete	Material: unknown collection folder Stadium;
484	5998	Editors\MeshEditorMedia\Materials\Rubber	
