# NAME<TAB>SX<TAB>SZ footprint cells of the block variant
Beach	1	1
DecoBeachMangrove	1	3
DecoPlatformBase	1	1
DecoPlatformSlope2Straight	1	1
DecoTreeBeachDeadend3x2	3	2
DecoTreeBeachDeadend3x2In	3	2
DecoTreeBeachGT2In	2	2
DecoWallBasePillar	1	1
DecoWallSlope2Straight	1	1
Land0_Land1_Land2	1	1
Land0_Land2_Land3	1	1
Land0_Land3_Land6	1	1
Land0_Land6_Land12	1	1
Land	1	1
LandCliff12	1	1
LandHill	1	1
LandHill2	1	1
LandHill3	1	1
LandHill6	1	1
PlatformBase	1	1
PlatformTechToRoadTech	1	1
RoadTechBranchCross	1	1
RoadTechCheckpoint	1	1
RoadTechCurve1	1	1
RoadTechCurve4	4	4
RoadTechCurve5	5	5
RoadTechFinish	1	1
RoadTechOnLandHillSlopeBase	1	1
RoadTechSlopeBase2x1	1	2
RoadTechSpecialTurbo	1	1
RoadTechStart	1	1
RoadTechStraight	1	1
StandStraight	1	1
StructureDeadend	1	1
StructurePillar	1	1
StructureSupportCurve3In	3	3
StructureSupportCurve3Out	4	4
StructureSupportDeadend	1	1
TechnicsScreen155Straight	1	1
TechnicsScreen155StraightX4	1	4
TechnicsScreen2x3Straight	1	1
TechnicsScreen2x3StraightSmall	1	1
TechnicsScreen2x3StraightX2	1	2
TechnicsScreen4x1Curve3In	3	3
TechnicsScreen4x1Straight	1	1
TechnicsScreen6x1StraightX3	1	3
