# Summer 2026 block selection catalog
# NAME<TAB>FLAGS<TAB>resolved logical PREFAB path
Beach	00001000	BlueBay\Media\Prefab\Zone\Beach\Base1A.Prefab.Gbx
Beach	00001005	BlueBay\Media\Prefab\Zone\Beach\DeadendA.Prefab.Gbx
Beach	00001009	BlueBay\Media\Prefab\Zone\Beach\CornerA.Prefab.Gbx
Beach	00001040	BlueBay\Media\Prefab\Zone\Beach\Base1B.Prefab.Gbx
Beach	00001045	BlueBay\Media\Prefab\Zone\Beach\DeadendB.Prefab.Gbx
Beach	00001049	BlueBay\Media\Prefab\Zone\Beach\CornerB.Prefab.Gbx
Beach	00001085	BlueBay\Media\Prefab\Zone\Beach\DeadendC.Prefab.Gbx
Beach	00001089	BlueBay\Media\Prefab\Zone\Beach\CornerC.Prefab.Gbx
DecoBeachMangrove	00001000	BlueBay\Media\Prefab\Deco\Beach\Mangrove.Prefab.Gbx
DecoPlatformBase	00000000	Stadium\Media\Prefab\DecoPlatform\Base_Air.Prefab.Gbx
DecoPlatformSlope2Straight	10000000	Stadium\Media\Prefab\DecoPlatform\Slope2Straight_AirNPB.Prefab.Gbx
DecoTreeBeachDeadend3x2	00001000	BlueBay\Media\Prefab\Deco\TreeBeach\DeadendA3x2.Prefab.Gbx
DecoTreeBeachDeadend3x2In	00001000	BlueBay\Media\Prefab\Deco\TreeBeach\Deadend3x2In.Prefab.Gbx
DecoTreeBeachGT2In	00001000	BlueBay\Media\Prefab\Deco\TreeBeach\GT2In.Prefab.Gbx
Land	00001000	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx
Land0_Land1_Land2	00001000	BlueBay\Media\Prefab\ZoneTransition\Land0_Land1_Land2Low\Deadend-0012.Prefab.Gbx
Land0_Land1_Land2	00001001	BlueBay\Media\Prefab\ZoneTransition\Land0_Land1_Land2Low\Deadend-0021.Prefab.Gbx
Land0_Land1_Land2	00001002	BlueBay\Media\Prefab\ZoneTransition\Land0_Land1_Land2Low\Deadend-1102.Prefab.Gbx
Land0_Land1_Land2	00001003	BlueBay\Media\Prefab\ZoneTransition\Land0_Land1_Land2Low\Deadend-1120.Prefab.Gbx
Land0_Land1_Land2	00001004	BlueBay\Media\Prefab\ZoneTransition\Land0_Land1_Land2Low\Deadend-2201.Prefab.Gbx
Land0_Land1_Land2	00001005	BlueBay\Media\Prefab\ZoneTransition\Land0_Land1_Land2Low\Deadend-2210.Prefab.Gbx
Land0_Land1_Land2	00001006	BlueBay\Media\Prefab\ZoneTransition\Land0_Land1_Land2Low\Base5-0102.Prefab.Gbx
Land0_Land1_Land2	00001007	BlueBay\Media\Prefab\ZoneTransition\Land0_Land1_Land2Low\Base5-1210.Prefab.Gbx
Land0_Land2_Land3	00001000	BlueBay\Media\Prefab\ZoneTransition\Land0_Land2_Land3Low\Deadend-0012.Prefab.Gbx
Land0_Land2_Land3	00001001	BlueBay\Media\Prefab\ZoneTransition\Land0_Land2_Land3Low\Deadend-0021.Prefab.Gbx
Land0_Land2_Land3	00001002	BlueBay\Media\Prefab\ZoneTransition\Land0_Land2_Land3Low\Deadend-1102.Prefab.Gbx
Land0_Land2_Land3	00001003	BlueBay\Media\Prefab\ZoneTransition\Land0_Land2_Land3Low\Deadend-1120.Prefab.Gbx
Land0_Land2_Land3	00001004	BlueBay\Media\Prefab\ZoneTransition\Land0_Land2_Land3Low\Deadend-2201.Prefab.Gbx
Land0_Land2_Land3	00001005	BlueBay\Media\Prefab\ZoneTransition\Land0_Land2_Land3Low\Deadend-2210.Prefab.Gbx
Land0_Land2_Land3	00001006	BlueBay\Media\Prefab\ZoneTransition\Land0_Land2_Land3Low\Base5-0102.Prefab.Gbx
Land0_Land2_Land3	00001008	BlueBay\Media\Prefab\ZoneTransition\Land0_Land2_Land3Low\Base5-2021.Prefab.Gbx
Land0_Land3_Land6	00001000	BlueBay\Media\Prefab\ZoneTransition\Land0_Land3_Land6Low\Deadend-0012.Prefab.Gbx
Land0_Land3_Land6	00001001	BlueBay\Media\Prefab\ZoneTransition\Land0_Land3_Land6Low\Deadend-0021.Prefab.Gbx
Land0_Land3_Land6	00001002	BlueBay\Media\Prefab\ZoneTransition\Land0_Land3_Land6Low\Deadend-1102.Prefab.Gbx
Land0_Land3_Land6	00001003	BlueBay\Media\Prefab\ZoneTransition\Land0_Land3_Land6Low\Deadend-1120.Prefab.Gbx
Land0_Land3_Land6	00001004	BlueBay\Media\Prefab\ZoneTransition\Land0_Land3_Land6Low\Deadend-2201.Prefab.Gbx
Land0_Land3_Land6	00001005	BlueBay\Media\Prefab\ZoneTransition\Land0_Land3_Land6Low\Deadend-2210.Prefab.Gbx
Land0_Land6_Land12	00001000	BlueBay\Media\Prefab\ZoneTransition\Land0_Land6_Land12Low\Deadend-0012.Prefab.Gbx
Land0_Land6_Land12	00001001	BlueBay\Media\Prefab\ZoneTransition\Land0_Land6_Land12Low\Deadend-0021.Prefab.Gbx
Land0_Land6_Land12	00001002	BlueBay\Media\Prefab\ZoneTransition\Land0_Land6_Land12Low\Deadend-1102.Prefab.Gbx
Land0_Land6_Land12	00001003	BlueBay\Media\Prefab\ZoneTransition\Land0_Land6_Land12Low\Deadend-1120.Prefab.Gbx
Land0_Land6_Land12	00001004	BlueBay\Media\Prefab\ZoneTransition\Land0_Land6_Land12Low\Deadend-2201.Prefab.Gbx
Land0_Land6_Land12	00001005	BlueBay\Media\Prefab\ZoneTransition\Land0_Land6_Land12Low\Deadend-2210.Prefab.Gbx
Land0_Land6_Land12	00001008	BlueBay\Media\Prefab\ZoneTransition\Land0_Land6_Land12Low\Base5-2021.Prefab.Gbx
LandCliff12	00001000	BlueBay\Media\Prefab\Zone\LandCliff12Low\Base1B.Prefab.Gbx
LandCliff12	00001005	BlueBay\Media\Prefab\Zone\LandCliff12Low\DeadendA.Prefab.Gbx
LandCliff12	00001009	BlueBay\Media\Prefab\Zone\LandCliff12Low\CornerA.Prefab.Gbx
LandCliff12	00001040	BlueBay\Media\Prefab\Zone\LandCliff12Low\Base1A.Prefab.Gbx
LandCliff12	00001045	BlueBay\Media\Prefab\Zone\LandCliff12Low\DeadendB.Prefab.Gbx
LandCliff12	00001049	BlueBay\Media\Prefab\Zone\LandCliff12Low\CornerB.Prefab.Gbx
LandHill	00001000	BlueBay\Media\Prefab\Zone\LandHillLow\Base1A.Prefab.Gbx
LandHill	00001002	BlueBay\Media\Prefab\Zone\LandHillLow\Base5A.Prefab.Gbx
LandHill	00001005	BlueBay\Media\Prefab\Zone\LandHillLow\DeadendA.Prefab.Gbx
LandHill	00001009	BlueBay\Media\Prefab\Zone\LandHillLow\CornerA.Prefab.Gbx
LandHill2	00001000	BlueBay\Media\Prefab\Zone\LandHill2Low\Base1A.Prefab.Gbx
LandHill2	00001002	BlueBay\Media\Prefab\Zone\LandHill2Low\Base5A.Prefab.Gbx
LandHill2	00001005	BlueBay\Media\Prefab\Zone\LandHill2Low\DeadendA.Prefab.Gbx
LandHill2	00001009	BlueBay\Media\Prefab\Zone\LandHill2Low\CornerA.Prefab.Gbx
LandHill3	00001000	BlueBay\Media\Prefab\Zone\LandHill3\Base1A.Prefab.Gbx
LandHill3	00001005	BlueBay\Media\Prefab\Zone\LandHill3\DeadendA.Prefab.Gbx
LandHill3	00001009	BlueBay\Media\Prefab\Zone\LandHill3\CornerA.Prefab.Gbx
LandHill3	00001045	BlueBay\Media\Prefab\Zone\LandHill3\DeadendB.Prefab.Gbx
LandHill6	00001000	BlueBay\Media\Prefab\Zone\LandHill6\Base1A.Prefab.Gbx
LandHill6	00001005	BlueBay\Media\Prefab\Zone\LandHill6\DeadendA.Prefab.Gbx
LandHill6	00001009	BlueBay\Media\Prefab\Zone\LandHill6\CornerA.Prefab.Gbx
LandHill6	00001045	BlueBay\Media\Prefab\Zone\LandHill6\DeadendB.Prefab.Gbx
PlatformTechToRoadTech	00001000	Stadium\Media\Prefab\PlatformTech\ToRoadTech_Ground.Prefab.Gbx
RoadTechBranchCross	00000000	Stadium\Media\Prefab\RoadTech\BranchCross_Air.Prefab.Gbx
RoadTechCheckpoint	00101000	Stadium\Media\Prefab\RoadTech\Checkpoint_Air.Prefab.Gbx
RoadTechCurve1	00001000	Stadium\Media\Prefab\RoadTech\Curve1_Air.Prefab.Gbx
RoadTechCurve4	00001000	Stadium\Media\Prefab\RoadTech\Curve4_Air.Prefab.Gbx
RoadTechCurve5	00001000	Stadium\Media\Prefab\RoadTech\Curve5_Air.Prefab.Gbx
RoadTechFinish	00101000	Stadium\Media\Prefab\RoadTech\Finish_Air.Prefab.Gbx
RoadTechOnLandHillSlopeBase	00001000	BlueBay\Media\Prefab\Stadium\RoadTechSlopeBaseOnLandHillDeadend.Prefab.Gbx
RoadTechSlopeBase2x1	00001000	Stadium\Media\Prefab\RoadTech\SlopeBase2x1_AirNPB.Prefab.Gbx
